Gene_id	Gene_Symbol	chr	pos	estimate	pvalue	fdr
ENSG00000003756	RBM5	3	50088919	-0,0960575867936578	0,877884027984576	0,994329773380277
ENSG00000003987	MTMR7	8	17296794	0,49368206846117	0,397983324578977	0,984558524948183
ENSG00000003989	SLC7A2	8	17497088	-0,319076313159405	0,600742268030858	0,99310702225313
ENSG00000004059	ARF5	7	127588386	-0,132925053915588	0,831254295792694	0,993532078360381
ENSG00000004139	SARM1	17	28364356	-0,277329035244651	0,651473730904071	0,99310702225313
ENSG00000004142	POLDIP2	17	28346633	0,150232430273617	0,809440116402677	0,993532078360381
ENSG00000004399	PLXND1	3	129555214	0,244245436824394	0,692137317868033	0,99310702225313
ENSG00000004455	AK2	1	33007986	-0,793875700015841	0,108798272787959	0,91417302815522
ENSG00000004468	CD38	4	15778275	-0,847852318168235	0,0695926581958703	0,899376766606787
ENSG00000004478	FKBP4	12	2794970	-0,27802046196464	0,650627998790323	0,99310702225313
ENSG00000004487	KDM1A	1	23019443	0,328315152962821	0,589612380486769	0,99310702225313
ENSG00000004534	RBM6	3	49940007	0,817588046961004	0,0909198449432936	0,900357690051989
ENSG00000004660	CAMKK1	17	3860315	0,864548777637838	0,0586113338410961	0,888394722243262
ENSG00000004700	RECQL	12	21468910	0,300464624157821	0,623273378722617	0,99310702225313
ENSG00000004766	VPS50	7	93232340	0,688915770940048	0,198274897395146	0,965421393857074
ENSG00000004776	HSPB6	19	35754566	0,254670805795873	0,679283041483409	0,99310702225313
ENSG00000004777	ARHGAP33	19	35774532	0,221338845924135	0,720500921886753	0,99310702225313
ENSG00000004779	NDUFAB1	16	23581014	0,470345861603282	0,424015402434178	0,987318709417338
ENSG00000004799	PDK4	7	95583499	-0,938067034376002	0,0183290707455516	0,84613740671208
ENSG00000004838	ZMYND10	3	50341110	-0,906521849843577	0,0338231348908316	0,85029859080456
ENSG00000004846	ABCB5	7	20615667	-0,0433467235126172	0,944826525704319	0,999497210238468
ENSG00000004848	ARX	X	25003694	0,378295660858947	0,530087398271939	0,991746205611134
ENSG00000004864	SLC25A13	7	96120220	-0,148857660128344	0,811170844443255	0,993532078360381
ENSG00000004866	ST7	7	116953238	0,416893159828286	0,484998843173357	0,991253956739197
ENSG00000004897	CDC27	17	47117703	0,616535726247091	0,268046276952304	0,972143037094319
ENSG00000004939	SLC4A1	17	44248390	-0,53206095874646	0,356038707958988	0,982218422781925
ENSG00000004961	HCCS	X	11111301	-0,103113144034775	0,868945288763285	0,994288405662175
ENSG00000004975	DVL2	17	7225342	0,516461164603913	0,372952252771982	0,983316240526128
ENSG00000005007	UPF1	19	18831959	-0,159630754746243	0,797618334600948	0,993532078360381
ENSG00000005020	SKAP2	7	26667068	-0,728500706291098	0,162726210553312	0,95214945453794
ENSG00000005022	SLC25A5	X	119468422	0,358232834820015	0,553836391000662	0,99310702225313
ENSG00000005059	MCUB	4	109560209	0,691817848061395	0,195601689445325	0,965421393857074
ENSG00000005073	HOXA11	7	27181157	0,829042065495973	0,0826427916648595	0,900357690051989
ENSG00000005075	POLR2J	7	102473128	-0,0905125323808249	0,884913415037773	0,994509437527354
ENSG00000005100	DHX33	17	5440917	0,339504022115857	0,576184012550873	0,99310702225313
ENSG00000005102	MEOX1	17	43640389	0,228784319301493	0,711264284873505	0,99310702225313
ENSG00000005108	THSD7A	7	11370365	-0,802197124191985	0,102413667462611	0,902285021306335
ENSG00000005156	LIG3	17	34980512	-0,549371083880684	0,337499061663835	0,982113493014118
ENSG00000005175	RPAP3	12	47661249	0,834166654937639	0,0790191482357631	0,900357690051989
ENSG00000005187	ACSM3	16	20610243	0,0304870355857195	0,961188714712702	0,999509917921462
ENSG00000005189	REXO5	16	20806429	0,217738332028145	0,724973396065789	0,99310702225313
ENSG00000005194	CIAPIN1	16	57428187	-0,390613129766391	0,51560977547181	0,991746205611134
ENSG00000005206	SPPL2B	19	2328615	0,0347631361588742	0,955747116844632	0,999509917921462
ENSG00000005238	FAM214B	9	35104112	-0,369122146520482	0,54092116002608	0,991746205611134
ENSG00000005243	COPZ2	17	48026167	0,310306120150455	0,611341455774547	0,99310702225313
ENSG00000005249	PRKAR2B	7	107044705	0,000493462042641518	0,999371704638982	1
ENSG00000005302	MSL3	X	11758159	-0,206181919020695	0,739353061643193	0,99310702225313
ENSG00000005339	CREBBP	16	3725054	-0,598546048820726	0,286238970450988	0,975622051126595
ENSG00000005379	TSPOAP1	17	58301228	0,848672241262489	0,0690398026625318	0,899376766606787
ENSG00000005436	GCFC2	2	75652000	-0,656399233130063	0,228905481230777	0,965421393857074
ENSG00000005448	WDR54	2	74421678	0,104819964417892	0,866783874794909	0,994288405662175
ENSG00000005469	CROT	7	87345664	0,191082305040855	0,758195209771553	0,99333514797016
ENSG00000005471	ABCB4	7	87401696	0,208118440576549	0,736940888388503	0,99310702225313
ENSG00000005483	KMT2E	7	104940943	-0,253733929005387	0,680436725534878	0,99310702225313
ENSG00000005486	RHBDD2	7	75842602	0,564644600754807	0,321348645672456	0,982113493014118
ENSG00000005513	SOX8	16	981770	0,721278826829018	0,169060387747733	0,953991288141329
ENSG00000005700	IBTK	6	82169986	-0,697774460458958	0,190147115976712	0,965421393857074
ENSG00000005801	ZNF195	11	3339261	-0,390483054717938	0,515762239307571	0,991746205611134
ENSG00000005810	MYCBP2	13	77042474	-0,625394315206764	0,259205358707908	0,970013276253116
ENSG00000005812	FBXL3	13	76992598	-0,14925126021516	0,810675295572489	0,993532078360381
ENSG00000005844	ITGAL	16	30472658	-0,73661760610857	0,155691395987642	0,95214945453794
ENSG00000005882	PDK2	17	50094737	0,533878554114958	0,354080555486192	0,982218422781925
ENSG00000005884	ITGA3	17	50055968	0,389619618189318	0,516774523790546	0,991746205611134
ENSG00000005889	ZFX	X	24149173	-0,635245864698683	0,249467595892533	0,967042391084948
ENSG00000005893	LAMP2	X	120426148	-0,0986054483069631	0,874655393481528	0,994328133257614
ENSG00000005961	ITGA2B	17	44372180	0,347876413276131	0,566173368611889	0,99310702225313
ENSG00000006007	GDE1	16	19501693	-0,183972715212699	0,767086808475921	0,993532078360381
ENSG00000006015	REX1BD	19	18588685	-0,463215147055888	0,432044694213323	0,98923296835949
ENSG00000006016	CRLF1	19	18572220	0,649408509150651	0,235647318571249	0,965421393857074
ENSG00000006025	OSBPL7	17	47807372	0,499420317525525	0,391641533798193	0,984558524948183
ENSG00000006042	TMEM98	17	32927910	0,981805750696188	0,00293796259444715	0,700396617573901
ENSG00000006062	MAP3K14	17	45263119	-0,726038111354453	0,164878246760803	0,953747428667611
ENSG00000006071	ABCC8	11	17392498	0,864886693671528	0,0583952382691226	0,888394722243262
ENSG00000006116	CACNG3	16	24256335	-0,602979777429265	0,281726053933524	0,974451076196833
ENSG00000006118	TMEM132A	11	60924460	-0,0175970121127787	0,977595944676231	0,999555859778735
ENSG00000006125	AP2B1	17	35578046	0,412569861026865	0,490007709739803	0,991253956739197
ENSG00000006128	TAC1	7	97732084	0,582868546773006	0,302345005096953	0,980556439830112
ENSG00000006194	ZNF263	16	3263800	-0,187899145553608	0,762174703683849	0,993532078360381
ENSG00000006210	CX3CL1	16	57372477	-0,316047675854015	0,604398841575587	0,99310702225313
ENSG00000006282	SPATA20	17	50543058	0,0018272830753692	0,997673432223737	1
ENSG00000006283	CACNA1G	17	50560715	0,594950961403939	0,289912007099565	0,976013485466734
ENSG00000006327	TNFRSF12A	16	3018445	0,242361059198791	0,694464484354453	0,99310702225313
ENSG00000006377	DLX6	7	97005553	-0,329870769809946	0,587742036212274	0,99310702225313
ENSG00000006432	MAP3K9	14	70722526	0,0829278122406945	0,894534175896921	0,994509437527354
ENSG00000006451	RALA	7	39623565	-0,321900060449952	0,597336606118124	0,99310702225313
ENSG00000006453	BAIAP2L1	7	98291650	-0,396331464356319	0,50891627429762	0,991746205611134
ENSG00000006459	KDM7A	7	140084746	-0,325912860589595	0,592502798869824	0,99310702225313
ENSG00000006468	ETV1	7	13891229	-0,207953088801636	0,737146814614346	0,99310702225313
ENSG00000006530	AGK	7	141551278	-0,277572246031326	0,651176222817879	0,99310702225313
ENSG00000006534	ALDH3B1	11	68008578	0,576737525468439	0,308705183933958	0,982113493014118
ENSG00000006555	TTC22	1	54779712	0,663652482341204	0,221967708021909	0,965421393857074
ENSG00000006576	PHTF2	7	77798773	0,522365885171002	0,366527860490789	0,982315289239729
ENSG00000006606	CCL26	7	75769533	-0,152854632006562	0,806139986381079	0,993532078360381
ENSG00000006607	FARP2	2	241356285	0,485076258474218	0,407538781469868	0,984558524948183
ENSG00000006611	USH1C	11	17493895	0,916004584766144	0,028851500125317	0,84613740671208
ENSG00000006625	GGCT	7	30496621	0,115048256166978	0,853839801479436	0,993532078360381
ENSG00000006634	DBF4	7	87876216	0,915280947515664	0,0292218814646466	0,84613740671208
ENSG00000006638	TBXA2R	19	3594507	-0,0536656835231313	0,93170354183997	0,997588784712674
ENSG00000006652	IFRD1	7	112422887	0,297343863531944	0,627065197745737	0,99310702225313
ENSG00000006695	COX10	17	14069490	0,892747397028755	0,0414793994245171	0,861757477718564
ENSG00000006704	GTF2IRD1	7	74453790	-0,697898341956649	0,190034140142403	0,965421393857074
ENSG00000006712	PAF1	19	39385629	0,213869156231853	0,729783698734592	0,99310702225313
ENSG00000006715	VPS41	7	38722974	0,712572983583142	0,176787923012137	0,95679425076844
ENSG00000006740	ARHGAP44	17	12789498	-0,720937438578393	0,169361536232993	0,953991288141329
ENSG00000006744	ELAC2	17	12991612	0,0685298724813814	0,912813401083626	0,996321568821951
ENSG00000006747	SCIN	7	12570577	0,6773984236642	0,208983639463675	0,965421393857074
ENSG00000006757	PNPLA4	X	7898247	-0,902869648773881	0,0358043262005197	0,852712930607019
ENSG00000006831	ADIPOR2	12	1688574	0,778154060713468	0,12117231634765	0,928465779262472
ENSG00000007001	UPP2	2	157876702	-0,558919653918382	0,327378899290121	0,982113493014118
ENSG00000007047	MARK4	19	45079288	0,0838221499947195	0,893399434436536	0,994509437527354
ENSG00000007080	CCDC124	19	17933015	0,601874488780397	0,282849321677731	0,974451076196833
ENSG00000007129	CEACAM21	19	41549518	-0,08234436588777	0,895274502093623	0,994509437527354
ENSG00000007168	PAFAH1B1	17	2593210	0,500852332914212	0,390062654646356	0,984558524948183
ENSG00000007171	NOS2	17	27756766	0,294489876583172	0,63053626049947	0,99310702225313
ENSG00000007174	DNAH9	17	11598470	-0,707000006944505	0,18178625166567	0,957302676590038
ENSG00000007202	KIAA0100	17	28614446	0,154486904283193	0,804086398524898	0,993532078360381
ENSG00000007216	SLC13A2	17	28473293	-0,638374706438257	0,246396034804941	0,965421393857074
ENSG00000007237	GAS7	17	9910606	0,574859296098953	0,310660401442935	0,982113493014118
ENSG00000007255	TRAPPC6A	19	45162928	0,104868060841124	0,866722974030637	0,994288405662175
ENSG00000007264	MATK	19	3777970	-0,451521573396815	0,445284775227314	0,990272963782988
ENSG00000007312	CD79B	17	63928738	-0,881942822080313	0,047822063924673	0,880114860488012
ENSG00000007314	SCN4A	17	63938554	0,232811502142631	0,706275155776315	0,99310702225313
ENSG00000007341	ST7L	1	112523514	0,617836604522707	0,266743048596617	0,971709757733052
ENSG00000007350	TKTL1	X	154295795	0,4856089498404	0,406945776687487	0,984558524948183
ENSG00000007372	PAX6	11	31784779	0,693701782463836	0,193871823945965	0,965421393857074
ENSG00000007376	RPUSD1	16	784974	-0,111824857846328	0,857917466529257	0,994046445560059
ENSG00000007384	RHBDF1	16	58059	0,28414399491906	0,643145623432115	0,99310702225313
ENSG00000007392	LUC7L	16	188969	0,608522528441197	0,276110941734158	0,9743470140708
ENSG00000007402	CACNA2D2	3	50362613	-0,487194098024643	0,40518234011978	0,984558524948183
ENSG00000007516	BAIAP3	16	1333638	-0,0397688511226321	0,949378076403622	0,999497210238468
ENSG00000007520	TSR3	16	1349240	0,662853555542923	0,222728994448133	0,965421393857074
ENSG00000007541	PIGQ	16	566995	-0,48477421666043	0,407875110701489	0,984558524948183
ENSG00000007545	CRAMP1	16	1612337	0,106301841532771	0,864907632195062	0,994288405662175
ENSG00000007866	TEAD3	6	35473597	0,231819443157453	0,707503725866471	0,99310702225313
ENSG00000007923	DNAJC11	1	6634168	0,543705286790278	0,343540225850872	0,982113493014118
ENSG00000007944	MYLIP	6	16129086	0,463551704654362	0,431664959217845	0,98923296835949
ENSG00000007968	E2F2	1	23506438	-0,945089486217015	0,0153181857112267	0,832033781075113
ENSG00000008018	PSMB1	6	170535120	0,951410240845851	0,0127632148484586	0,832033781075113
ENSG00000008056	SYN1	X	47571901	-0,683352074541107	0,203428248880744	0,965421393857074
ENSG00000008083	JARID2	6	15246069	-0,790675855579154	0,111284172680409	0,917860730062192
ENSG00000008086	CDKL5	X	18425583	0,434904445396991	0,464250441419829	0,991253956739197
ENSG00000008118	CAMK1G	1	209583714	-0,314261045018792	0,606557726952418	0,99310702225313
ENSG00000008130	NADK	1	1751232	0,273293408665216	0,656413476765572	0,99310702225313
ENSG00000008226	DLEC1	3	38039205	-0,237518085102204	0,700450613858071	0,99310702225313
ENSG00000008256	CYTH3	7	6161776	-0,941847205524669	0,0166864801100964	0,842947014259006
ENSG00000008277	ADAM22	7	87934143	-0,497248979619116	0,394038427898304	0,984558524948183
ENSG00000008282	SYPL1	7	106090505	0,219813706290602	0,722394961037396	0,99310702225313
ENSG00000008283	CYB561	17	63432304	-0,0750518386403915	0,904530817505991	0,996062456789549
ENSG00000008294	SPAG9	17	50962174	-0,333700074515517	0,583142597773779	0,99310702225313
ENSG00000008300	CELSR3	3	48636463	-0,0191674654350129	0,975596719470247	0,999555859778735
ENSG00000008311	AASS	7	122064583	-0,425829616468753	0,474680040759397	0,991253956739197
ENSG00000008323	PLEKHG6	12	6310436	-0,608690192280479	0,275941554258155	0,9743470140708
ENSG00000008324	SS18L2	3	42581840	0,63950130851872	0,245292584567211	0,965421393857074
ENSG00000008382	MPND	19	4343527	-0,674741895161127	0,211475913200976	0,965421393857074
ENSG00000008394	MGST1	12	16347142	0,595129299719627	0,289729513944807	0,976013485466734
ENSG00000008405	CRY1	12	106991364	-0,92039807236096	0,0266357256657168	0,84613740671208
ENSG00000008438	PGLYRP1	19	46019153	-0,380306963168538	0,527717894745277	0,991746205611134
ENSG00000008441	NFIX	19	12995475	0,255842233184929	0,677840942528497	0,99310702225313
ENSG00000008513	ST3GAL1	8	133454848	0,854354782659876	0,0652461994352688	0,894421831209211
ENSG00000008516	MMP25	16	3046062	0,606328557510639	0,278329992413375	0,9743470140708
ENSG00000008517	IL32	16	3065297	-0,66953154821703	0,216387902452323	0,965421393857074
ENSG00000008710	PKD1	16	2088708	-0,129396921884756	0,835707643244992	0,993532078360381
ENSG00000008735	MAPK8IP2	22	50600793	0,607055897883003	0,277593818540657	0,9743470140708
ENSG00000008838	MED24	17	40019097	0,487216939814312	0,405156942242978	0,984558524948183
ENSG00000008853	RHOBTB2	8	22987417	0,338150135711814	0,577805867746273	0,99310702225313
ENSG00000008869	HEATR5B	2	36968383	-0,591534837773014	0,293413488007371	0,976013485466734
ENSG00000008952	SEC62	3	169966635	0,14681730127578	0,813740163344343	0,993532078360381
ENSG00000008988	RPS20	8	56067254	-0,0917335215148791	0,883365271226321	0,994486163280164
ENSG00000009307	CSDE1	1	114716913	0,378934304638826	0,52933478706499	0,991746205611134
ENSG00000009335	UBE3C	7	157138916	-0,0600488008723392	0,923589465558035	0,996608514517038
ENSG00000009413	REV3L	6	111299028	-0,359887778016584	0,551869768093206	0,992842575065541
ENSG00000009694	TENM1	X	124375903	0,00700109252925126	0,991086004956889	0,999922672134254
ENSG00000009709	PAX7	1	18630846	0,870983079573546	0,0545400424964599	0,888394722243262
ENSG00000009724	MASP2	1	11022009	0,0399755330736544	0,949115130035393	0,999497210238468
ENSG00000009780	FAM76A	1	27725961	-0,242327236707843	0,694506264760666	0,99310702225313
ENSG00000009830	POMT2	14	77274956	0,559193186038357	0,32709013673562	0,982113493014118
ENSG00000009844	VTA1	6	142147162	0,195713758336784	0,75240959802781	0,99310702225313
ENSG00000009950	MLXIPL	7	73593194	-0,0436778628280678	0,944405305354507	0,999497210238468
ENSG00000009954	BAZ1B	7	73440406	-0,387216978493439	0,519593465059708	0,991746205611134
ENSG00000010017	RANBP9	6	13621498	0,183007959299424	0,768294318020634	0,993532078360381
ENSG00000010030	ETV7	6	36354091	0,581447782653183	0,303815836604124	0,982113493014118
ENSG00000010072	SPRTN	1	231337104	0,00733094478453825	0,990666034806974	0,999922672134254
ENSG00000010165	METTL13	1	171781660	-0,411585072519894	0,491150173358186	0,991253956739197
ENSG00000010219	DYRK4	12	4562208	0,172294069032321	0,781718612909072	0,993532078360381
ENSG00000010244	ZNF207	17	32350132	0,941257233033119	0,0169395263815584	0,842947014259006
ENSG00000010256	UQCRC1	3	48599002	0,349385328175473	0,564372695223103	0,99310702225313
ENSG00000010270	STARD3NL	7	38178245	0,17660591843468	0,776312783927147	0,993532078360381
ENSG00000010278	CD9	12	6199715	-0,0326466144500701	0,958440424349025	0,999509917921462
ENSG00000010292	NCAPD2	12	6493356	0,529254445014176	0,359067440351124	0,982315289239729
ENSG00000010295	IFFO1	12	6538961	0,388193628840267	0,518447218418141	0,991746205611134
ENSG00000010310	GIPR	19	45668221	-0,094069430164233	0,880403963025528	0,994347134476072
ENSG00000010318	PHF7	3	52410660	0,646708294488587	0,238265680136252	0,965421393857074
ENSG00000010319	SEMA3G	3	52433035	-0,366977314277434	0,543460353137063	0,991746205611134
ENSG00000010322	NISCH	3	52455118	0,126716641549732	0,839092184301827	0,993532078360381
ENSG00000010327	STAB1	3	52495338	0,145285036914082	0,815670182872674	0,993532078360381
ENSG00000010361	FUZ	19	49806866	0,214631828575964	0,728835183505191	0,99310702225313
ENSG00000010379	SLC6A13	12	220621	-0,478119716495354	0,415301262886972	0,986331567299945
ENSG00000010404	IDS	X	149476988	-0,537952688939008	0,349701029797971	0,982218422781925
ENSG00000010438	PRSS3	9	33750679	0,27094244788308	0,659293855423214	0,99310702225313
ENSG00000010539	ZNF200	16	3222325	0,274360087280402	0,655107248765432	0,99310702225313
ENSG00000010610	CD4	12	6786858	-0,211401298200467	0,732854015969434	0,99310702225313
ENSG00000010626	LRRC23	12	6873569	0,14340811960057	0,818034920304747	0,993532078360381
ENSG00000010671	BTK	X	101349338	-0,663691412745202	0,221930630182231	0,965421393857074
ENSG00000010803	SCMH1	1	41027202	-0,664947274771427	0,22073544983253	0,965421393857074
ENSG00000010810	FYN	6	111660332	-0,18785421474043	0,762230892653218	0,993532078360381
ENSG00000010818	HIVEP2	6	142751469	-0,549291653272319	0,337583569859532	0,982113493014118
ENSG00000010932	FMO1	1	171248471	-0,697164324180238	0,1907038177157	0,965421393857074
ENSG00000011007	ELOA	1	23743448	-0,105081298114873	0,8664529719796	0,994288405662175
ENSG00000011009	LYPLA2	1	23791145	-0,0914349791096645	0,883743789719405	0,994486163280164
ENSG00000011021	CLCN6	1	11806096	0,156712697448167	0,801286948483042	0,993532078360381
ENSG00000011028	MRC2	17	62627670	-0,351904787783569	0,561368493703567	0,99310702225313
ENSG00000011052	NME1-NME2	17	51153590	0,303971112137619	0,619017551866362	0,99310702225313
ENSG00000011105	TSPAN9	12	3077355	-0,299108711342539	0,624920376718483	0,99310702225313
ENSG00000011114	BTBD7	14	93237550	0,144146612867953	0,817104410936785	0,993532078360381
ENSG00000011132	APBA3	19	3750772	0,436937172633433	0,461921146953259	0,990490060778165
ENSG00000011143	MKS1	17	58205441	0,297636964686505	0,626708905925226	0,99310702225313
ENSG00000011198	ABHD5	3	43690108	0,777781584171537	0,121470290735846	0,928465779262472
ENSG00000011201	ANOS1	X	8528874	0,130431202404581	0,834401916723911	0,993532078360381
ENSG00000011243	AKAP8L	19	15380050	0,00903053396862728	0,988502123321455	0,999739079336143
ENSG00000011258	MBTD1	17	51177425	-0,538388686626238	0,349233146750599	0,982218422781925
ENSG00000011260	UTP18	17	51260546	-0,21692935951561	0,725978791702519	0,99310702225313
ENSG00000011275	RNF216	7	5620047	-0,357996063868701	0,554117863209374	0,99310702225313
ENSG00000011295	TTC19	17	15999784	0,709267934027296	0,179747372108942	0,95679425076844
ENSG00000011304	PTBP1	19	797075	0,162024429522231	0,794610287642005	0,993532078360381
ENSG00000011332	DPF1	19	38211006	0,645480689026084	0,239458678621987	0,965421393857074
ENSG00000011347	SYT7	11	61513714	-0,0297544269798601	0,962121077704485	0,999509917921462
ENSG00000011376	LARS2	3	45388561	-0,747956131166889	0,146017904623067	0,948997462862915
ENSG00000011405	PIK3C2A	11	17077730	0,430258845911022	0,469583332010668	0,991253956739197
ENSG00000011422	PLAUR	19	43646095	0,368633185144482	0,541499820423624	0,991746205611134
ENSG00000011426	ANLN	7	36389821	0,256141011060147	0,677473202559237	0,99310702225313
ENSG00000011451	WIZ	19	15419978	0,062615313538572	0,920327832917507	0,996608514517038
ENSG00000011454	RABGAP1	9	122940833	-0,248272559817493	0,687167735382051	0,99310702225313
ENSG00000011465	DCN	12	91140484	0,468104974130487	0,426534989052351	0,987780452451293
ENSG00000011478	QPCTL	19	45692403	0,487750953186453	0,404563276317746	0,984558524948183
ENSG00000011485	PPP5C	19	46347087	0,233600270396762	0,705298555801391	0,99310702225313
ENSG00000011523	CEP68	2	65056366	-0,380840483543923	0,527089712387249	0,991746205611134
ENSG00000011566	MAP4K3	2	39249266	-0,915149792768858	0,0292891731636525	0,84613740671208
ENSG00000011590	ZBTB32	19	35704558	-0,112121270583349	0,857542435517303	0,993913449769673
ENSG00000011600	TYROBP	19	35904401	-0,728943415808199	0,162340200348131	0,95214945453794
ENSG00000011638	LDAF1	16	21158377	0,0584703785865506	0,925595643169738	0,996608514517038
ENSG00000011677	GABRA3	X	152166234	-0,444613454471681	0,453148095339163	0,990272963782988
ENSG00000012048	BRCA1	17	43044295	-0,212502901419376	0,731483278366908	0,99310702225313
ENSG00000012061	ERCC1	19	45407334	0,270763220756161	0,659513524582444	0,99310702225313
ENSG00000012124	CD22	19	35319261	-0,338417970034974	0,577484955492662	0,99310702225313
ENSG00000012171	SEMA3B	3	50267558	0,145831504381312	0,814981809214376	0,993532078360381
ENSG00000012174	MBTPS2	X	21839617	-0,203267771779901	0,74298487969838	0,99310702225313
ENSG00000012211	PRICKLE3	X	49174802	0,219562834525859	0,722706577500167	0,99310702225313
ENSG00000012223	LTF	3	46435645	-0,432759614019203	0,466710950283743	0,991253956739197
ENSG00000012232	EXTL3	8	28600469	-0,0948455002198758	0,879420257965174	0,994329773380277
ENSG00000012660	ELOVL5	6	53267398	0,174661815004655	0,778749615580838	0,993532078360381
ENSG00000012779	ALOX5	10	45374176	0,379622662967124	0,528523827764802	0,991746205611134
ENSG00000012822	CALCOCO1	12	53708517	0,498737529498535	0,392394877049939	0,984558524948183
ENSG00000012963	UBR7	14	93207241	0,789691720260487	0,11205212303184	0,918012640181247
ENSG00000012983	MAP4K5	14	50418501	-0,00771485324670798	0,990177241206365	0,999922672134254
ENSG00000013016	EHD3	2	31234152	0,65534524791489	0,229918500815835	0,965421393857074
ENSG00000013275	PSMC4	19	39971165	0,59083670164648	0,294130412892232	0,976013485466734
ENSG00000013288	MAN2B2	4	6575189	0,111239663130043	0,858657910798202	0,994218441617732
ENSG00000013293	SLC7A14	3	170459548	-0,158462272317945	0,799087155010944	0,993532078360381
ENSG00000013297	CLDN11	3	170418868	0,455529010529597	0,440737275245894	0,990067273717668
ENSG00000013306	SLC25A39	17	44319625	0,391583392866011	0,514472797316282	0,991746205611134
ENSG00000013364	MVP	16	29820394	0,320193354819913	0,599394617205101	0,99310702225313
ENSG00000013374	NUB1	7	151341772	-0,562565578868224	0,323535260999805	0,982113493014118
ENSG00000013375	PGM3	6	83147324	0,32551147712557	0,592985987686517	0,99310702225313
ENSG00000013392	RWDD2A	6	83193357	-0,859348670134573	0,0619680846738422	0,890253562318562
ENSG00000013441	CLK1	2	200853009	-0,495577398202764	0,395885996194362	0,984558524948183
ENSG00000013503	POLR3B	12	106357748	-0,0841374438242601	0,892999407986276	0,994509437527354
ENSG00000013523	ANGEL1	14	76786009	-0,406759702573513	0,496756166732122	0,991253956739197
ENSG00000013561	RNF14	5	141958328	0,535327872864829	0,352521061527838	0,982218422781925
ENSG00000013563	DNASE1L1	X	154401236	0,784417422931036	0,116194735606091	0,923389055000454
